index,frequency_Hz,rcs_m2
391,5219029578.505494,0.001119937544600265
392,5303443385.083202,0.0011033700232989227
393,5389222520.336244,0.0010830939272821027
394,5476389067.410316,0.0010592144512129688
395,5564965466.62916,0.001031867165918295
396,5654974521.271495,0.0010012155063974669
397,5746439403.441635,0.0009674483040090879
398,5839383660.034938,0.0009307775369717304
399,5933831218.799731,0.0008914364513048488
400,6029806394.497427,0.0008496781751888047
401,6127333895.162003,0.0008057749152191822
402,6226438828.460968,0.000760017784558389
403,6327146708.1592245,0.0007127172713866682
404,6429483460.687105,0.0006642043115598104
405,6533475431.815277,0.0006148318816863082
406,6639149393.43697,0.0005649769772766084
407,6746532550.460279,0.0005150427844532945
408,6855652547.811943,0.0004654607925641973
409,6966537477.55413,0.00041669252941924605
410,7079215886.11663,0.00036923053283601084
411,7193716781.645874,0.0003235981060669606
412,7310069641.472816,0.0002803473478222594
413,7428304419.701755,0.00024005491085839678
414,7548451554.921595,0.0002033149409728927
415,7670541978.042136,0.00017072869818902177
416,7794607120.256958,0.00014289048251455623
417,7920678921.135092,0.00012036969427788761
418,8048789836.843735,0.00010368916292546346
419,8178972848.503637,9.330027437068254e-05
420,8311261470.679952,8.9555892351547e-05
421,8445689760.010254,9.268255728757361e-05
422,8582292323.972117,0.00010275388733963766
423,8721104329.79267,0.00011966741539780944
424,8862161513.501896,0.00014312718615410027
425,9005500189.132738,0.00017263424292694558
426,9151157258.069805,0.00020748663085093597
427,9299170218.54931,0.00024678976744526806
428,9449577175.312832,0.00028947708291803746
429,9602416849.416845,0.00033433985993818664
430,9757728588.201305,0.00038006437431952145
431,9915552375.419249,0.00042527390237043564
432,10075928841.530262,0.00046857300937479945
433,10238899274.160624,0.0005085917798962963
434,10404505628.732222,0.0005440282269466575
435,10572790539.263805,0.0005736878930538738
436,10743797329.346727,0.0005965204674950072
437,10917570023.298204,0.0006116539228813568
438,11094153357.495209,0.0006184270746220809
439,11273592791.891212,0.0006164214784349521
440,11455934521.71962,0.0006054931380146747
441,11641225489.386545,0.0005858035825465453
442,11829513396.55524,0.0005578485417946038
443,12020846716.427166,0.0005224808312395295
444,12215274706.220499,0.0004809224096676895
445,12412847419.851198,0.000434759261827392
446,12613615720.81913,0.00038591226922889723
447,12817631295.30217,0.00033657806334776456
448,13024946665.462585,0.000289136370435465
449,13235615202.9684,0.0002460245759419214
450,13449691142.73343,0.00020958566024979956
451,13667229596.87987,0.00018190123440292686
452,13888286568.926104,0.0001646257338441698
453,14112918968.2046,0.0001588395979407586
454,14341184624.512691,0.0001649377782666429
455,14573142303.000341,0.00018256546975094665
456,14808851719.298986,0.000210606811007771
457,15048373554.894493,0.0002472262569727665
458,15291769472.749348,0.0002899580453620107
459,15539102133.177229,0.0003358375359257914
460,15790435209.974348,0.0003815689674737178
461,16045833406.811989,0.00042372607567850245
462,16305362473.893581,0.00045898310758496795
463,16569089224.881804,0.00048437205106841
464,16837081554.099161,0.0004975560123885823
465,17109408454.006762,0.0004970986835123863
466,17386140032.966145,0.00048269785442925443
467,17667347533.287693,0.0004553411943984937
468,17953103349.571682,0.0004173404704986994
469,18243481047.34559,0.0003722103770672403
470,18538555382.002903,0.00032438082095050715
471,18838402318.04856,0.00027876203478469
472,19143099048.654976,0.00024021118865733793
473,19452724015.535088,0.00021296794017612383
474,19767356929.136463,0.000200129943962141
475,20087078789.16203,0.0002032301544926089
476,20411971905.423134,0.00022196348347856455
477,20742119919.02903,0.000254098855678698
478,21077607823.919865,0.0002956065818932385
479,21418521988.74802,0.0003410251093443002
480,21764950179.112072,0.000384074708260422
481,22116981580.15256,0.0004184883600566998
482,22474706819.511017,0.0004389716202680882
483,22838217990.66167,0.0004421392714209633
484,23207608676.62044,0.0004272362128145302
485,23582973974.03659,0.00039646086736427677
486,23964410517.674946,0.00035477832442271367
487,24352016505.293644,0.0003092155196438049
488,24745891722.924267,0.0002677341182394477
489,25146137570.561333,0.00023785036032650863
490,25552857088.266323,0.00022521320910277227
491,25966154982.694893,0.00023237930377508856
492,26386137654.052673,0.0002580436744440091
493,26812913223.48703,0.0002969764346241424
494,27246591560.92241,0.00034083080714218396
495,27687284313.34482,0.0003797964841474662
496,28135104933.544865,0.00040480930665832266
497,28590168709.32517,0.0004097993090673184
498,29052592793.18014,0.00039337845768035694
499,29522496232.45644,0.0003594758350922344
500,30000000000.00001,0.0003166659900672298
